"","gene"
"1272","Sh2b1"
"1273","Bora"
"1274","Birc6"
"1275","Bod1"
"1276","Cdk13"
"1277","Prc1"
"1278","Btc"
"1279","Adarb1"
"1280","Tada2a"
"1281","Btrc"
"1282","Bub1"
"1283","Bub1b"
"1284","Rhou"
"1285","Siah1a"
"1286","Siah1b"
"1287","Siah2"
"1288","Exd1"
"1289","Wdr76"
"1290","Afg3l2"
"1291","Tacc1"
"1292","Dab2ip"
"1293","Adamtsl2"
"1294","C2"
"1295","Stil"
"1296","Esco1"
"1297","Pitrm1"
"1298","Klhl14"
"1299","Sin3b"
"1300","Sipa1"
"1301","Six3"
"1302","Six4"
"1303","Vps4b"
"1304","Ski"
"1305","Skil"
"1306","Cacna1s"
"1307","Slbp"
"1308","Fntb"
"1309","Rnf217"
"1310","Dctn2"
"1311","Hinfp"
"1312","P2rx1"
"1313","Calm2"
"1314","Calm3"
"1315","Aspm"
"1316","Msl2"
"1317","Camk2a"
"1318","Camk2b"
"1319","Fkbp6"
"1320","Camk2g"
"1321","Adamts18"
"1322","Capn1"
"1323","Capn2"
"1324","Capn3"
"1325","Capns1"
"1326","Capn5"
"1327","Capn6"
"1328","Capn7"
"1329","Rps6ka3"
"1330","Batf"
"1331","Ube2s"
"1332","Plrg1"
"1333","Lsm10"
"1334","Casp1"
"1335","Slfn1"
"1336","Casp12"
"1337","Casp14"
"1338","Casp2"
"1339","Casp3"
"1340","Casp6"
"1341","Casp7"
"1342","Casp8"
"1343","Casp9"
"1344","Trip13"
"1345","Cast"
"1346","Smyd3"
"1347","Ctnnb1"
"1348","L3mbtl1"
"1349","Cav1"
"1350","Cav2"
"1351","Cav3"
"1352","Nup37"
"1353","Hltf"
"1354","Klhl11"
"1355","Smarcb1"
"1356","Parl"
"1357","Runx3"
"1358","Cbl"
"1359","Sirt7"
"1360","Fbxo7"
"1361","Usp2"
"1362","Asb16"
"1363","Sdcbp"
"1364","Traf7"
"1365","Mir26b"
"1366","Rb1cc1"
"1367","Cck"
"1368","Snca"
"1369","Ccna1"
"1370","Ccna2"
"1371","Aif1"
"1372","Cdc27"
"1373","Klk13"
"1374","Ccnb2"
"1375","Ccnd1"
"1376","Ccnd2"
"1377","Ccnd3"
"1378","Med30"
"1379","Adam33"
"1380","Ccne2"
"1381","Ccnf"
"1382","Ccng1"
"1383","Ccng2"
"1384","Ccni"
"1385","Ccnk"
"1386","Htatip2"
"1387","Corin"
"1388","Trim32"
"1389","Son"
"1390","Sort1"
"1391","Pggt1b"
"1392","Nup50"
"1393","Sox15"
"1394","Sox2"
"1395","Ccnb3"
"1396","Sox4"
"1397","Cd28"
"1398","Cd2ap"
"1399","Sox9"
"1400","Fzd9"
"1401","Ranbp10"
"1402","Cd44"
"1403","Sphk1"
"1404","Cd53"
"1405","Csrp3"
"1406","Llgl2"
"1407","Cdc25a"
"1408","Cep120"
"1409","Cdc25c"
"1410","Cdk1"
"1411","Cdk11b"
"1412","Cdc42"
"1413","Ube2o"
"1414","Cdc45"
"1415","Cdc7"
"1416","Itgb3bp"
"1417","Sptbn1"
"1418","Spop"
"1419","Gm960"
"1420","Ccnl1"
"1421","Usp39"
"1422","Cdk2"
"1423","Cdk4"
"1424","Cdk5"
"1425","Cdk5r1"
"1426","Cdk6"
"1427","Cdk7"
"1428","Nabp2"
"1429","Cdkn1a"
"1430","Cdkn1b"
"1431","Cdkn1c"
"1432","Cdkn2a"
"1433","Cdkn2b"
"1434","Cdkn2c"
"1435","Cdkn2d"
"1436","Apitd1"
"1437","Src"
"1438","Cdx2"
"1439","Dtx3l"
"1440","Cebpa"
"1441","Cdc16"
"1442","Cenpa"
"1443","Cenpc1"
"1444","Spred2"
"1445","Srpk2"
"1446","Cetn3"
"1447","Trim21"
"1448","Cfi"
"1449","Cfl1"
"1450","Cflar"
"1451","Dctn3"
"1452","Hjurp"
"1453","Znrf4"
"1454","Chek1"
"1455","Stag1"
"1456","Stag2"
"1457","Kif14"
"1458","M1ap"
"1459","Stat3"
"1460","Stat5a"
"1461","Blcap"
"1462","Cnot4"
"1463","Bbs4"
"1464","Ace2"
"1465","Insm1"
"1466","Cep76"
"1467","Cep85"
"1468","Ctse"
"1469","Slc26a8"
"1470","Stim1"
"1471","Stk10"
"1472","Stk11"
"1473","Nsl1"
"1474","Aurkc"
"1475","Plk4"
"1476","Cideb"
"1477","Aurkb"
"1478","Aurka"
"1479","Kctd13"
"1480","Cirbp"
"1481","Stra13"
"1482","Cit"
"1483","Stra8"
"1484","Spdl1"
"1485","Sstr5"
"1486","Rnf40"
"1487","Acer2"
"1488","Stxbp4"
"1489","Gen1"
"1490","Mapk4"
"1491","Cpne1"
"1492","Suv39h1"
"1493","Ube2q1"
"1494","Syce1l"
"1495","Tpp1"
"1496","Haus1"
"1497","Smc4"
"1498","Clta"
"1499","G2e3"
"1500","Znhit1"
"1501","Robo1"
"1502","Sycp1"
"1503","Sycp3"
"1504","Cul9"
"1505","Baz1a"
"1506","Pbx1"
"1507","Plk3"
"1508","Cdk19"
"1509","Adamts8"
"1510","Col4a3"
"1511","Mir744"
"1512","Hoxc10"
"1513","Fam162a"
"1514","Rassf2"
"1515","Trp53bp2"
"1516","Pla2g16"
"1517","Hace1"
"1518","Ppp2r5b"
"1519","Ctsll3"
"1520","Nppc"
"1521","Med23"
"1522","Fbxl14"
"1523","Kif18b"
"1524","Cpeb1"
"1525","Pcid2"
"1526","AI464131"
"1527","Hmcn1"
"1528","Poc1a"
"1529","Ube2u"
"1530","Prss51"
"1531","Sept9"
"1532","Psmd1"
"1533","Crabp2"
"1534","Cradd"
"1535","Lin52"
"1536","Rab11a"
"1537","Arhgef10"
"1538","Crebbp"
"1539","Mlh3"
"1540","Nek9"
"1541","Naip7"
"1542","March2"
"1543","Pcna"
"1544","Ppm1d"
"1545","Clpp"
"1546","Adamts16"
"1547","Rnf126"
"1548","Cry1"
"1549","Sept10"
"1550","Hdac8"
"1551","Rnf187"
"1552","Csnk2a1"
"1553","Rnf149"
"1554","Csnk2a2"
"1555","Cep135"
"1556","Smc3"
"1557","Pcsk5"
"1558","Ctbp1"
"1559","Htra3"
"1560","Ctsb"
"1561","Ctsc"
"1562","Ctsd"
"1563","Smc5"
"1564","Ctsg"
"1565","Ctsh"
"1566","Ctsk"
"1567","Ctsl"
"1568","Ctss"
"1569","Ctsw"
"1570","Nrip3"
"1571","Cycs"
"1572","Rps15a"
"1573","Stk26"
"1574","Uvrag"
"1575","Ttc28"
"1576","Cyp1a1"
"1577","Mta3"
"1578","Hectd2"
"1579","Cyp27b1"
"1580","Mir214"
"1581","Wee2"
"1582","Ncapd3"
"1583","Rprd1b"
"1584","Mipep"
"1585","Ptpn3"
"1586","Tacc3"
"1587","Dapk3"
"1588","Klhl9"
"1589","Rnf112"
"1590","Taf6"
"1591","Cep57l1"
"1592","Tal1"
"1593","Klhl32"
"1594","Fam65b"
"1595","Lzts2"
"1596","Daxx"
"1597","Cks1b"
"1598","Rnf167"
"1599","Fbxo32"
"1600","Irf6"
"1601","Spag5"
"1602","Stambp"
"1603","Tbrg1"
"1604","Tbx1"
"1605","Cyhr1"
"1606","Tbx2"
"1607","Tbx3"
"1608","Gadd45a"
"1609","Ddit3"
"1610","Mcm6"
"1611","Ccdc124"
"1612","Ddx3x"
"1613","Ddx4"
"1614","Ddx5"
"1615","Skp1a"
"1616","Trim8"
"1617","Ankle1"
"1618","March5"
"1619","Tcf7l1"
"1620","Tcf7l2"
"1621","Ipo5"
"1622","H1foo"
"1623","Tcf3"
"1624","Akap8l"
"1625","Rnf5"
"1626","Mcpt2"
"1627","Pak4"
"1628","Sept1"
"1629","Gbf1"
"1630","Habp2"
"1631","Pttg1ip"
"1632","Hist4h4"
"1633","Afap1l2"
"1634","Fbxo43"
"1635","Dach1"
"1636","Ube2v2"
"1637","Anapc2"
"1638","Cacul1"
"1639","Oip5"
"1640","Spry2"
"1641","E2f2"
"1642","Vcpip1"
"1643","Fam175a"
"1644","Brsk1"
"1645","Klhdc7a"
"1646","Wsb1"
"1647","Mdm1"
"1648","1500015O10Rik"
"1649","Pea15a"
"1650","Zbtb32"
"1651","Misp"
"1652","Asb15"
"1653","Ltn1"
"1654","Apbb2"
"1655","Dlg1"
"1656","Gas2l1"
"1657","Dmpk"
"1658","Mylip"
"1659","Dmc1"
"1660","Dmd"
"1661","Ern1"
"1662","Klhl21"
"1663","Nup153"
"1664","Rnf144b"
"1665","Fam178a"
"1666","Zfp385a"
"1667","Hip1r"
"1668","Crlf3"
"1669","Prdm5"
"1670","Ipo9"
"1671","Klhl30"
"1672","Ubr5"
"1673","Dazl"
"1674","Ankib1"
"1675","Cep192"
"1676","Dynlt1b"
"1677","Fmn2"
"1678","Xpo1"
"1679","Zyg11b"
"1680","Hgfac"
"1681","Dnmt3l"
"1682","Fbxw11"
"1683","Mapk12"
"1684","BC051665"
"1685","Nae1"
"1686","Dpp4"
"1687","Drd2"
"1688","Drd3"
"1689","Prss22"
"1690","Cdc14b"
"1691","Foxe3"
"1692","Klk8"
"1693","Tubgcp3"
"1694","Adam28"
"1695","Adam18"
"1696","Adam26a"
"1697","Adam24"
"1698","Spag8"
"1699","Txnl4b"
"1700","Ehd2"
"1701","Spdya"
"1702","Dyrk1a"
"1703","Klhl20"
"1704","Atg4c"
"1705","Rfwd3"
"1706","Tep1"
"1707","E2f1"
"1708","Aph1a"
"1709","Terf1"
"1710","Terf2"
"1711","E2f5"
"1712","E4f1"
"1713","Prss39"
"1714","Prss40"
"1715","Nabp1"
"1716","Rad21l"
"1717","Psmd2"
"1718","Cks1brt"
"1719","Trim69"
"1720","Tfdp1"
"1721","Lmln"
"1722","Ccnt1"
"1723","Ecel1"
"1724","Ect2"
"1725","Tgfa"
"1726","Tgfb1"
"1727","Tbc1d10a"
"1728","Edn1"
"1729","Tgfb2"
"1730","Mep1b"
"1731","Tubg1"
"1732","Tgm1"
"1733","Pex12"
"1734","Spc25"
"1735","Thbs1"
"1736","Foxo4"
"1737","Egf"
"1738","Klk1b22"
"1739","Egfbp2"
"1740","Klk1b9"
"1741","Prss54"
"1742","Rhbdf1"
"1743","Pde3a"
"1744","Trim24"
"1745","Trim28"
"1746","Prss41"
"1747","Ehd1"
"1748","Timeless"
"1749","Spg7"
"1750","Eif2ak3"
"1751","Chmp1a"
"1752","Cdk10"
"1753","Spire2"
"1754","Dyrk2"
"1755","Eif4e"
"1756","Eif4ebp1"
"1757","Prss55"
"1758","Maml1"
"1759","Tll1"
"1760","Cela2a"
"1761","Tmprss11f"
"1762","Tmprss11e"
"1763","Sh3glb1"
"1764","Nr2e1"
"1765","Kmt2e"
"1766","Arf6"
"1767","Cep126"
"1768","Inca1"
"1769","Tfap4"
"1770","Tnf"
"1771","Tnfaip1"
"1772","Slc25a33"
"1773","Tspyl2"
"1774","Gem"
"1775","Ahctf1"
"1776","Tnks"
"1777","Rcan1"
"1778","Sharpin"
"1779","Ints3"
"1780","Med17"
"1781","Top1"
"1782","Ccdc67"
"1783","Top2a"
"1784","Top2b"
"1785","Ska1"
"1786","Ppp1r13b"
"1787","Tpd52l1"
"1788","Eng"
"1789","Bhlhe41"
"1790","Tpp2"
"1791","Brca2"
"1792","Nipbl"
"1793","Asun"
"1794","Nr2c2"
"1795","Traf2"
"1796","Traf3"
"1797","Traf4"
"1798","Traf5"
"1799","Traf6"
"1800","Traip"
"1801","Try5"
"1802","Casp8ap2"
"1803","Atg4d"
"1804","Kank2"
"1805","Eps8"
"1806","Spdye4a"
"1807","Trp53"
"1808","Trp63"
"1809","Trp73"
"1810","Ercc2"
"1811","Ercc3"
"1812","Ereg"
"1813","Prss2"
"1814","Prss3"
"1815","Try4"
"1816","Sept7"
"1817","Ctsq"
"1818","Tsc2"
"1819","Tsg101"
"1820","Dmrtc2"
"1821","Rsph1"
"1822","Recql4"
"1823","Ptprv"
"1824","Ube2d2b"
"1825","Htt"
"1826","Ttc3"
"1827","Ttk"
"1828","Ttn"
"1829","Syne4"
"1830","Mki67"
"1831","Tubb3"
"1832","Twist1"
"1833","Esr1"
"1834","Stard13"
"1835","Tmprss11g"
"1836","Smarcad1"
"1837","Airn"
"1838","Pip"
"1839","Ubb"
"1840","Ube2m"
"1841","Ube2e3"
"1842","Ube2e1"
"1843","Ube2l3"
"1844","Ube2i"
"1845","Ecd"
"1846","Uba3"
"1847","Uba1"
"1848","Uba1y"
"1849","Mecom"
"1850","Pamr1"
"1851","Ube2a"
"1852","Ube2b"
"1853","Zfp503"
"1854","Ube2g2"
"1855","Ube2h"
"1856","Ube3a"
"1857","Usp12"
"1858","Tmem189"
"1859","Rprm"
"1860","Ubr1"
"1861","Uchl1"
"1862","Usp10"
"1863","Eya1"
"1864","Ezh2"
"1865","F10"
"1866","F2"
"1867","F2r"
"1868","F3"
"1869","F5"
"1870","F7"
"1871","F8"
"1872","F9"
"1873","Blmh"
"1874","Uqcrc1"
"1875","Fadd"
"1876","Fanca"
"1877","Fap"
"1878","Usp9x"
"1879","Sod1"
"1880","Fasl"
"1881","Wapl"
"1882","Usp19"
"1883","Usp28"
"1884","Taok2"
"1885","Ing2"
"1886","Vhl"
"1887","Ercc8"
"1888","Fen1"
"1889","Fer"
"1890","Tex15"
"1891","Stradb"
"1892","Fgf10"
"1893","Sfpq"
"1894","Fgf2"
"1895","Vrk1"
"1896","Atm"
"1897","Fgf8"
"1898","Fgfr1"
"1899","Fgfr2"
"1900","Fgfr3"
"1901","Prkacb"
"1902","Fhit"
"1903","Fhl1"
"1904","Wfs1"
"1905","Ppm1g"
"1906","Zmat3"
"1907","Smc2"
"1908","Wiz"
"1909","Prkcd"
"1910","Cntnap5a"
"1911","Wnt10b"
"1912","Ctgf"
"1913","Snx33"
"1914","Mmp16"
"1915","Wnt4"
"1916","Wnt5a"
"1917","Foxm1"
"1918","Dctn6"
"1919","Cps1"
"1920","Xbp1"
"1921","Xdh"
"1922","Xk"
"1923","Meig1"
"1924","Flot1"
"1925","Flt3l"
"1926","Usp3"
"1927","Hes1"
"1928","Tert"
"1929","Fnta"
"1930","Trrap"
"1931","E2f4"
"1932","Fosl1"
"1933","Klhl36"
"1934","Ctdsp1"
"1935","Cenpj"
"1936","Bap1"
"1937","Dgkz"
"1938","Ska3"
"1939","Fam32a"
"1940","Shprh"
"1941","Dner"
"1942","Aktip"
"1943","Clock"
"1944","Pnpt1"
"1945","Cdc5l"
"1946","Syde1"
"1947","Lrrcc1"
"1948","Mus81"
"1949","Gpsm2"
"1950","Tmprss11a"
"1951","Topbp1"
"1952","Susd2"
"1953","Atrx"
"1954","Xpc"
"1955","Cul2"
"1956","Parp3"
"1957","Xrcc5"
"1958","Tmprss6"
"1959","Mmp20"
"1960","Klhdc3"
"1961","Apeh"
"1962","Tysnd1"
"1963","Klf11"
"1964","Klhl5"
"1965","March8"
"1966","Ywhah"
"1967","Ankle2"
"1968","Prss42"
"1969","Prss50"
"1970","Gas1"
"1971","Rnf103"
"1972","Gas2"
"1973","Fbxw5"
"1974","Gata3"
"1975","Gata6"
"1976","Ranbp3"
"1977","Plcb1"
"1978","Rnf180"
"1979","Kif23"
"1980","Dync1li1"
"1981","Usp15"
"1982","Brsk2"
"1983","Ddi1"
"1984","Zfp207"
"1985","Fbxo40"
"1986","Zpr1"
"1987","Brd7"
"1988","Rab11fip4"
"1989","Syce2"
"1990","Nek11"
"1991","Dpep3"
"1992","Eme1"
"1993","Zswim2"
"1994","Ube2z"
"1995","Fbxo30"
"1996","Lzts1"
"1997","Fam83d"
"1998","Meioc"
"1999","Btbd6"
"2000","Ppp1r10"
"2001","Mad2l2"
"2002","Klk14"
"2003","Pttg1"
"2004","Prss30"
"2005","Rnf19a"
"2006","Bin1"
"2007","Haus5"
"2008","C1s2"
"2009","Epgn"
"2010","Hacd1"
"2011","Ikzf1"
"2012","Tom1l1"
"2013","Znrf3"
"2014","Nanog"
"2015","Trim71"
"2016","Ist1"
"2017","Rnf135"
"2018","Map3k1"
"2019","Ppp2r2a"
"2020","Tdrd12"
"2021","Esco2"
"2022","Kbtbd7"
"2023","Prss45"
"2024","Tdpoz2"
"2025","Tdpoz3"
"2026","Tdpoz4"
"2027","Tdpoz5"
"2028","Fbxo22"
"2029","Zfyve19"
"2030","Gnai1"
"2031","Gnai2"
"2032","Gnai3"
"2033","Pld6"
"2034","Fancm"
"2035","Alkbh4"
"2036","Zer1"
"2037","Urgcp"
"2038","D2Wsu81e"
"2039","S100a8"
"2040","Tom1l2"
"2041","Cbll1"
"2042","Pdpn"
"2043","Nup214"
"2044","Plpp7"
"2045","Cdip1"
"2046","Btbd1"
"2047","Osgepl1"
"2048","Cdk5rap3"
"2049","Ccnb1"
"2050","Lrsam1"
"2051","Abtb1"
"2052","Gpr3"
"2053","Dscc1"
"2054","Grk5"
"2055","Tpx2"
"2056","Seh1l"
"2057","Tox4"
"2058","pma"
"2059","Cdca3"
"2060","Rnf31"
"2061","Cables1"
"2062","Strada"
"2063","Ube4b"
"2064","Rabgap1"
"2065","Fbxl7"
"2066","Ovch2"
"2067","Recql5"
"2068","Fbxl2"
"2069","Klhl35"
"2070","Gsg2"
"2071","Rps3"
"2072","Gspt2"
"2073","Klhl38"
"2074","Nod1"
"2075","Asns"
"2076","Marveld1"
"2077","Bcat1"
"2078","Trip12"
"2079","Perp"
"2080","Cblb"
"2081","Naa50"
"2082","Myh10"
"2083","Nme6"
"2084","Nlrp1b"
"2085","Fbxo45"
"2086","Ccpg1"
"2087","Gzma"
"2088","Gzmb"
"2089","Gzmc"
"2090","Gzmd"
"2091","Gzme"
"2092","Gzmf"
"2093","Gzmg"
"2094","Gzmk"
"2095","Lsm11"
"2096","H13"
"2097","Mcph1"
"2098","Cfb"
"2099","Gca"
"2100","Pelo"
"2101","Btg3"
"2102","Kat6a"
"2103","Gm5415"
"2104","Snx18"
"2105","Tfdp2"
"2106","Mapk1"
"2107","Ctsz"
"2108","Ctsm"
"2109","Sfn"
"2110","Ralb"
"2111","Dusp3"
"2112","Capn11"
"2113","Krtap21-1"
"2114","Klhl41"
"2115","Bag6"
"2116","Tlk1"
"2117","Nlrc4"
"2118","Paxip1"
"2119","Pdzrn3"
"2120","Wdsub1"
"2121","Trim3"
"2122","Msh4"
"2123","Zfp385c"
"2124","Fancd2"
"2125","Lonrf1"
"2126","Cdkn3"
"2127","Cspp1"
"2128","Brap"
"2129","Pinx1"
"2130","Ncapg"
"2131","Smarcd3"
"2132","Sgol1"
"2133","Lrpprc"
"2134","Papln"
"2135","Ccnl2"
"2136","Hist2h3c1"
"2137","H3f3a"
"2138","Nhlrc1"
"2139","Rala"
"2140","Kbtbd6"
"2141","Znrf1"
"2142","Btg4"
"2143","Pla2r1"
"2144","Zc3h12d"
"2145","Adam29"
"2146","Bbc3"
"2147","Rnf44"
"2148","Ercc1"
"2149","Cts7"
"2150","Cts8"
"2151","Cenpn"
"2152","Rnf185"
"2153","Hcfc1"
"2154","Rps6kb1"
"2155","Ms4a3"
"2156","Cdk20"
"2157","Ptpn6"
"2158","Wwox"
"2159","Usp33"
"2160","Nanos3"
"2161","Hdac3"
"2162","Hdac5"
"2163","Mad2l1"
"2164","Hist2h3c2"
"2165","Hells"
"2166","Hist2h4"
"2167","Herc2"
"2168","Reep4"
"2169","Utp14b"
"2170","BC004004"
"2171","Rnf34"
"2172","Med27"
"2173","Lin9"
"2174","Foxg1"
"2175","Rbm38"
"2176","Sirt2"
"2177","Hgf"
"2178","Mst1"
"2179","Cul4b"
"2180","Hhex"
"2181","Ensa"
"2182","Becn1"
"2183","Klhl23"
"2184","Htra1"
"2185","Hint1"
"2186","Eid1"
"2187","Hipk1"
"2188","Hipk2"
"2189","Zfp386"
"2190","Usp13"
"2191","Slf1"
"2192","Zfp655"
"2193","Ube2j1"
"2194","H2afx"
"2195","Lif"
"2196","Zfp369"
"2197","Actr8"
"2198","Tdrkh"
"2199","Rack1"
"2200","Usp7"
"2201","Rbm14"
"2202","Hist1h4a"
"2203","Hist1h4b"
"2204","Tnfsf15"
"2205","Rassf1"
"2206","Rnf11"
"2207","Senp3"
"2208","Nupr1"
"2209","Hmg20b"
"2210","Trim2"
"2211","Phgdh"
"2212","Tmprss5"
"2213","Aatf"
"2214","Erap1"
"2215","Madd"
"2216","Hmga2"
"2217","Hus1b"
"2218","Arl2"
"2219","Nr4a1"
"2220","Foxa1"
"2221","Pum1"
"2222","Txnip"
"2223","Arl3"
"2224","Cables2"
"2225","Chmp7"
"2226","Fzr1"
"2227","Tmem59"
"2228","Rint1"
"2229","Kif18a"
"2230","Sass6"
"2231","Akap8"
"2232","Ndc1"
"2233","Hpgd"
"2234","Rtel1"
"2235","Ckap2"
"2236","Hpn"
"2237","Hras"
"2238","Stub1"
"2239","Trim23"
"2240","Prmt2"
"2241","Dstn"
"2242","Jade1"
"2243","Rbx1"
"2244","Pard3b"
"2245","Hspa8"
"2246","Rnf114"
"2247","Pot1b"
"2248","Mbtps1"
"2249","Fem1b"
"2250","Hsf1"
"2251","Mtch1"
"2252","Npat"
"2253","Ctsf"
"2254","Pias1"
"2255","Hspd1"
"2256","Hspa2"
"2257","Foxo3"
"2258","Nxt1"
"2259","Ruvbl1"
"2260","Klhl31"
"2261","Htra2"
"2262","Pard6a"
"2263","Rnf138"
"2264","Fbxl4"
"2265","Sept6"
"2266","Slc6a4"
"2267","Vcp"
"2268","Hus1"
"2269","Fbxo10"
"2270","Klk11"
"2271","March1"
"2272","Hepacam"
"2273","Ppp2r2b"
"2274","Ube2d2a"
"2275","Adam23"
"2276","Adam25"
"2277","Adamts5"
"2278","Ccnt2"
"2279","Mkrn1"
"2280","Amfr"
"2281","Arih1"
"2282","Arih2"
"2283","Avpi1"
"2284","Atr"
"2285","Bace1"
"2286","Clspn"
"2287","Capn10"
"2288","Cdc6"
"2289","Appl1"
"2290","Pappa2"
"2291","Adam21"
"2292","Dmtf1"
"2293","Trim56"
"2294","Btbd3"
"2295","Trim17"
"2296","Gsk3b"
"2297","Ets1"
"2298","Klk4"
"2299","Ankrd2"
"2300","Gadd45g"
"2301","Ppp2r2c"
"2302","Gdf15"
"2303","Mapre2"
"2304","Insc"
"2305","Klhl15"
"2306","Csrp2bp"
"2307","Sgsm3"
"2308","Mtbp"
"2309","Jtb"
"2310","Katna1"
"2311","Kel"
"2312","Pmpcb"
"2313","Gpr132"
"2314","Ranbp9"
"2315","Ercc6l"
"2316","Mapk7"
"2317","Gm15800"
"2318","Brinp1"
"2319","Rabgef1"
"2320","Mmp17"
"2321","Mtor"
"2322","Prss57"
"2323","Nek4"
"2324","Neu2"
"2325","Kbtbd8"
"2326","Rnf14"
"2327","Tsc1"
"2328","Rec8"
"2329","Med1"
"2330","Psrc1"
"2331","Pebp1"
"2332","Mylk2"
"2333","Cenpv"
"2334","Pin1"
"2335","Med24"
"2336","Cib1"
"2337","Klk7"
"2338","Psmd13"
"2339","E2f3"
"2340","Med20"
"2341","Mcts1"
"2342","Rnf13"
"2343","Klhl4"
"2344","Wasl"
"2345","Rgs14"
"2346","Xpot"
"2347","Sept3"
"2348","Smc1a"
"2349","Spry1"
"2350","Topaz1"
"2351","Sppl2b"
"2352","Ctsr"
"2353","Espl1"
"2354","Taf10"
"2355","Tlk2"
"2356","Tll2"
"2357","Id2"
"2358","Id3"
"2359","Id4"
"2360","Spice1"
"2361","Tpra1"
"2362","Topors"
"2363","Zfp217"
"2364","Nle1"
"2365","Prss1"
"2366","Ide"
"2367","Xrn1"
"2368","Ier3"
"2369","Fbxo4"
"2370","Pkp4"
"2371","Cxcl10"
"2372","Prss48"
"2373","Ifi204"
"2374","Prrg2"
"2375","Ppp1ca"
"2376","Trim63"
"2377","Oraov1"
"2378","Ifng"
"2379","Ccdc155"
"2380","Hist1h3g"
"2381","Prss44"
"2382","Mapre1"
"2383","Igf1"
"2384","Igf1r"
"2385","Igf2"
"2386","Fanci"
"2387","Prss52"
"2388","Ifnz"
"2389","Shh"
"2390","Hist1h3d"
"2391","Hist1h3b"
"2392","Hist1h3e"
"2393","Hist1h3h"
"2394","Hist1h3i"
"2395","Hist2h3b"
"2396","Hist1h4c"
"2397","Hist1h4d"
"2398","Hist1h4f"
"2399","Hist1h4i"
"2400","Hist1h4j"
"2401","Hist1h4k"
"2402","Tiprl"
"2403","Kat5"
"2404","Rspo1"
"2405","Pdxp"
"2406","Rad21"
"2407","Ccsap"
"2408","Bub3"
"2409","Tex24"
"2410","Rpl17"
"2411","Xpo7"
"2412","Msx1"
"2413","Spin2c"
"2414","Pds5a"
"2415","Fbxo25"
"2416","Msx2"
"2417","Asb4"
"2418","Asb2"
"2419","Asb3"
"2420","Brdt"
"2421","Rnf38"
"2422","Kif2b"
"2423","Trim12c"
"2424","Hist1h3a"
"2425","Tex19.2"
"2426","Pkmyt1"
"2427","Eme2"
"2428","Eda2r"
"2429","Il10"
"2430","Il12a"
"2431","Il12b"
"2432","Edn3"
"2433","Ankrd17"
"2434","Il1a"
"2435","Il1b"
"2436","Fam76b"
"2437","Il4"
"2438","Il4ra"
"2439","Zmpste24"
"2440","Dclre1a"
"2441","Mcidas"
"2442","Ilk"
"2443","Rnf212"
"2444","Kpnb1"
"2445","Phlda3"
"2446","Klhl18"
"2447","Trim25"
"2448","1810009J06Rik"
"2449","Bcl9"
"2450","Fancf"
"2451","Spg20"
"2452","Prss21"
"2453","Xpo4"
"2454","Zbtb49"
"2455","Brd4"
"2456","Capn9"
"2457","Ercc4"
"2458","Incenp"
"2459","Inha"
"2460","Inhba"
"2461","Cep250"
"2462","Rec114"
"2463","Psma8"
"2464","Ins2"
"2465","Tex19.1"
"2466","Insr"
"2467","Ccdc8"
"2468","1700123I01Rik"
"2469","Ipp"
"2470","Prss28"
"2471","Prss29"
"2472","Egfr"
"2473","Irf1"
"2474","4930444G20Rik"
"2475","Klhl12"
"2476","Rad9a"
"2477","Ubox5"
